# time,O2,AR,O,H2O2,HO2,T,H2O,NO,N2,OH,H2,OH*,HE,N,H
2.4e-05,0.229965,2.92494e-05,2.79035e-08,2.42985e-09,1.13693e-06,1000.01,7.89102e-07,7.801769999999999e-20,0.756964,1.16556e-08,0.0130392,7.11231e-20,0,1.09489e-21,7.52728e-09
2.5e-05,0.229965,2.92494e-05,2.93127e-08,2.76703e-09,1.23784e-06,1000.01,8.52864e-07,8.529939999999999e-20,0.756964,1.21718e-08,0.0130392,7.833719999999999e-20,0,1.1516e-21,7.89194e-09
2.6e-05,0.229965,2.92494e-05,3.07423e-08,3.13676e-09,1.34349e-06,1000.01,9.19415e-07,9.29431e-20,0.756964,1.26963e-08,0.0130392,8.601159999999999e-20,0,1.20912e-21,8.26191e-09
2.7e-05,0.229965,2.92494e-05,3.21928e-08,3.5411e-09,1.45394e-06,1000.01,9.88802e-07,1.00954e-19,0.756964,1.32292e-08,0.0130391,9.4165e-20,0,1.2674799999999999e-21,8.63733e-09
2.8e-05,0.229965,2.92494e-05,3.36648e-08,3.98221e-09,1.56925e-06,1000.01,1.06107e-06,1.09337e-19,0.756964,1.3771e-08,0.0130391,1.02817e-19,0,1.3266999999999999e-21,9.01837e-09
2.9e-05,0.229965,2.92494e-05,3.51591e-08,4.46233e-09,1.68949e-06,1000.01,1.13627e-06,1.18099e-19,0.756964,1.43219e-08,0.0130391,1.1198900000000001e-19,0,1.3868e-21,9.40521e-09
3e-05,0.229964,2.92494e-05,3.66762e-08,4.98382e-09,1.81472e-06,1000.01,1.21445e-06,1.27245e-19,0.756964,1.48821e-08,0.0130391,1.21703e-19,0,1.4478199999999999e-21,9.79802e-09
3.1e-05,0.229964,2.92494e-05,3.82168e-08,5.54915e-09,1.94501e-06,1000.01,1.29566e-06,1.3678e-19,0.756964,1.54522e-08,0.0130391,1.31981e-19,0,1.5097899999999999e-21,1.0197e-08
3.2e-05,0.229964,2.92494e-05,3.97818e-08,6.16091e-09,2.08043e-06,1000.01,1.37996e-06,1.46711e-19,0.756964,1.60322e-08,0.0130391,1.42849e-19,0,1.5727199999999999e-21,1.06023e-08
3.3e-05,0.229964,2.92494e-05,4.13718e-08,6.8218e-09,2.22105e-06,1000.01,1.4674e-06,1.57044e-19,0.756964,1.66228e-08,0.0130391,1.54332e-19,0,1.6366599999999999e-21,1.10142e-08
3.4e-05,0.229964,2.92494e-05,4.29878e-08,7.53467e-09,2.36694e-06,1000.01,1.55804e-06,1.67787e-19,0.756964,1.72241e-08,0.0130391,1.6645700000000001e-19,0,1.70163e-21,1.14328e-08
3.5e-05,0.229963,2.92494e-05,4.46304e-08,8.30249e-09,2.51818e-06,1000.01,1.65194e-06,1.78944e-19,0.756964,1.78366e-08,0.013039,1.79254e-19,0,1.76767e-21,1.18584e-08
3.6e-05,0.229963,2.92494e-05,4.63007e-08,9.12838e-09,2.67484e-06,1000.01,1.74916e-06,1.90524e-19,0.756964,1.84606e-08,0.013039,1.92753e-19,0,1.8348199999999997e-21,1.22913e-08
3.7e-05,0.229963,2.92494e-05,4.79995e-08,1.00156e-08,2.83701e-06,1000.02,1.84977e-06,2.02533e-19,0.756964,1.90967e-08,0.013039,2.0698500000000002e-19,0,1.9030999999999997e-21,1.27316e-08
3.8e-05,0.229963,2.92494e-05,4.97278e-08,1.09676e-08,3.00476e-06,1000.02,1.95383e-06,2.14979e-19,0.756964,1.97453e-08,0.013039,2.21986e-19,0,1.97256e-21,1.31795e-08
3.9e-05,0.229962,2.92494e-05,5.14865e-08,1.1988e-08,3.17818e-06,1000.02,2.06142e-06,2.2787e-19,0.756964,2.04068e-08,0.013039,2.37791e-19,0,2.04324e-21,1.36355e-08
4e-05,0.229962,2.92494e-05,5.32768e-08,1.30805e-08,3.35736e-06,1000.02,2.17259e-06,2.41213e-19,0.756964,2.10816e-08,0.0130389,2.54438e-19,0,2.1151799999999997e-21,1.40997e-08
4.1e-05,0.229962,2.92494e-05,5.50997e-08,1.42491e-08,3.54238e-06,1000.02,2.28744e-06,2.55017e-19,0.756964,2.17704e-08,0.0130389,2.71969e-19,0,2.18842e-21,1.45724e-08
4.2e-05,0.229961,2.92494e-05,5.69563e-08,1.54979e-08,3.73334e-06,1000.02,2.40603e-06,2.6929e-19,0.756964,2.24736e-08,0.0130389,2.90426e-19,0,2.26301e-21,1.5054e-08
4.3e-05,0.229961,2.92494e-05,5.88478e-08,1.68313e-08,3.93033e-06,1000.02,2.52844e-06,2.8404e-19,0.756964,2.31918e-08,0.0130389,3.09854e-19,0,2.3390000000000002e-21,1.55447e-08
4.4e-05,0.229961,2.92494e-05,6.07755e-08,1.82539e-08,4.13344e-06,1000.02,2.65476e-06,2.9927700000000003e-19,0.756964,2.39256e-08,0.0130389,3.30303e-19,0,2.4164299999999998e-21,1.60448e-08
4.5e-05,0.22996,2.92494e-05,6.27407e-08,1.97704e-08,4.34278e-06,1000.02,2.78508e-06,3.15011e-19,0.756964,2.46755e-08,0.0130388,3.51823e-19,0,2.4953499999999998e-21,1.65548e-08
4.6e-05,0.22996,2.92494e-05,6.47447e-08,2.13858e-08,4.55845e-06,1000.03,2.91949e-06,3.31251e-19,0.756964,2.54422e-08,0.0130388,3.7446900000000003e-19,0,2.5758299999999997e-21,1.70749e-08
4.7e-05,0.22996,2.92494e-05,6.67889e-08,2.31054e-08,4.78055e-06,1000.03,3.05807e-06,3.48006e-19,0.756964,2.62264e-08,0.0130388,3.983e-19,0,2.65791e-21,1.76055e-08
4.8e-05,0.229959,2.92494e-05,6.88748e-08,2.49347e-08,5.0092e-06,1000.03,3.20093e-06,3.6528800000000003e-19,0.756964,2.70287e-08,0.0130388,4.23377e-19,0,2.74166e-21,1.81471e-08
4.9e-05,0.229959,2.92494e-05,7.10041e-08,2.68795e-08,5.2445e-06,1000.03,3.34817e-06,3.83108e-19,0.756964,2.785e-08,0.0130388,4.49766e-19,0,2.82713e-21,1.86999e-08
5e-05,0.229959,2.92494e-05,7.31782e-08,2.89458e-08,5.48658e-06,1000.03,3.49989e-06,4.01476e-19,0.756964,2.86909e-08,0.0130387,4.77537e-19,0,2.9143999999999998e-21,1.92646e-08
5.1e-05,0.229958,2.92494e-05,7.53989e-08,3.11401e-08,5.73555e-06,1000.03,3.6562e-06,4.20404e-19,0.756964,2.95522e-08,0.0130387,5.06764e-19,0,3.0035299999999997e-21,1.98414e-08
5.2e-05,0.229958,2.92494e-05,7.7668e-08,3.34689e-08,5.99155e-06,1000.03,3.81722e-06,4.39904e-19,0.756964,3.04349e-08,0.0130387,5.37527e-19,0,3.0945899999999998e-21,2.04309e-08
5.3e-05,0.229958,2.92494e-05,7.99873e-08,3.59393e-08,6.25469e-06,1000.04,3.98306e-06,4.5999e-19,0.756964,3.13397e-08,0.0130386,5.699100000000001e-19,0,3.1876599999999997e-21,2.10335e-08
